Location,Population,PercentTotalPopulation,ElectoralVotes,PercentElectoralVotes,ElectoralToPopRatio,White,WhitePop,WhiteVotingPower,Black,BlackPop,BlackVotingPower,Hispanic,HispanicPop,HispanicVotingPower,Asian,AsianPop,AsianVotingPower,Natives,NativePop,NativeVotingPower,Mixed,MixedPop,NativeVotingPower,2016Vote
Alabama,3755483,0.02,9,0.02,1.1,0.65,2441064,2694194,0.27,1013980,1119127,0.04,9910948,10938679,0,0,0,0,0,0,0.02,4955474,5469339,Rep
Alaska,552166,0,3,0.01,2.5,0.58,320256,801350,0.03,16565,41449,0.06,14866423,37198978,0.07,17344160,43398808,0.16,39643793,99197276,0.07,17344160,43398808,Rep
Arizona,5205215,0.02,11,0.02,0.97,0.51,2654660,2583663,0.04,208209,202640,0.37,91676272,89224455,0.03,7433211,7234415,0,0,0,0.02,4955474,4822944,Rep
Arkansas,2272904,0.01,6,0.01,1.22,0.74,1681949,2044824,0.15,340936,414491,0.07,17344160,21086105,0.02,4955474,6024601,0,0,0,0.02,4955474,6024601,Rep
California,30023902,0.12,55,0.1,0.84,0.39,11709322,9878710,0.06,1801434,1519802,0.38,94154009,79434162,0.15,37166056,31355590,0.01,2477737,2090373,0.02,4955474,4180745,Dem
Colorado,4199509,0.02,9,0.02,0.99,0.69,2897661,2859990,0.04,167980,165797,0.21,52032479,51356031,0.03,7433211,7336576,0,0,0,0.02,4955474,4891051,Dem
Connecticut,2826827,0.01,7,0.01,1.14,0.7,1978779,2256675,0.09,254414,290144,0.15,37166056,42385590,0.04,9910948,11302824,0,0,0,0,0,0,Dem
Delaware,741548,0,3,0.01,1.86,0.63,467175,870432,0.21,155725,290144,0.1,24777371,46164715,0.04,9910948,18465886,0,0,0,0,0,0,Dem
District of Columbia,554121,0,7,0.01,5.82,0.37,205025,1192814,0.46,254896,1482958,0.11,27255108,158567538,0.05,12388685,72076154,0,0,0,0.02,4955474,28830462,Dem
Florida,16166143,0.07,29,0.05,0.83,0.54,8729717,7212149,0.16,2586583,2136933,0.26,64421164,53222234,0.02,4955474,4094018,0,0,0,0.01,2477737,2047009,Rep
Georgia,7710688,0.03,16,0.03,0.96,0.52,4009558,3831742,0.31,2390313,2284308,0.1,24777371,23678545,0.05,12388685,11839273,0,0,0,0.02,4955474,4735709,Rep
Hawaii,1120770,0,4,0.01,1.64,0.19,212946,350015,0.02,22415,36844,0.1,24777371,40725991,0.39,96631747,158831365,0.14,34688319,57016388,0.16,39643793,65161586,Dem
Idaho,1222093,0,4,0.01,1.51,0.84,1026558,1547434,0.01,12221,18422,0.13,32210582,48554251,0.01,2477737,3734942,0,0,0,0.01,2477737,3734942,Rep
Illinois,9901322,0.04,20,0.04,0.93,0.63,6237833,5802879,0.13,1287172,1197419,0.16,39643793,36879495,0.06,14866423,13829811,0,0,0,0.01,2477737,2304968,Dem
Indiana,5040224,0.02,11,0.02,1.01,0.8,4032179,4052804,0.09,453620,455940,0.08,19821897,19923288,0.02,4955474,4980822,0,0,0,0.01,2477737,2490411,Rep
Iowa,2395103,0.01,6,0.01,1.15,0.85,2035838,2348784,0.03,71853,82898,0.08,19821897,22868897,0.02,4955474,5717224,0,0,0,0.01,2477737,2858612,Rep
Kansas,2192084,0.01,6,0.01,1.26,0.75,1644063,2072457,0.05,109604,138164,0.12,29732845,37480336,0.03,7433211,9370084,0,0,0,0.04,9910948,12493445,Rep
Kentucky,3413425,0.01,8,0.01,1.08,0.85,2901411,3131712,0.07,238940,257906,0.03,7433211,8023226,0,0,0,0,0,0,0.02,4955474,5348818,Rep
